Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed
Crewmate,Win,3,No,Yes,-,07m 04s,No,2
Crewmate,Loss,7,Yes,No,-,16m 21s,No,1
Crewmate,Win,3,No,No,-,11m 33s,No,0
Imposter,Win,-,-,-,2,08m 05s,No,
Crewmate,Loss,4,No,No,-,05m 10s,No,0
Crewmate,Loss,7,Yes,Yes,-,16m 22s,No,0
Crewmate,Loss,8,Yes,Yes,-,21m 41s,No,1
Crewmate,Win,8,Yes,No,-,18m 43s,Yes,0
Crewmate,Win,7,Yes,Yes,-,13m 15s,No,0
Crewmate,Loss,7,Yes,Yes,-,12m 43s,No,0
Crewmate,Win,4,No,Yes,-,11m 00s,No,0
Crewmate,Win,7,Yes,No,-,17m 43s,No,0
Crewmate,Loss,6,No,Yes,-,13m 46s,No,0
Imposter,Loss,-,-,-,3,15m 52s,Yes,
Crewmate,Win,7,Yes,Yes,-,18m 54s,No,1
Crewmate,Loss,7,Yes,Yes,-,08m 00s,No,0
Crewmate,Win,7,Yes,Yes,-,18m 06s,No,0
Crewmate,Win,7,Yes,Yes,-,12m 58s,No,1
Crewmate,Win,7,Yes,Yes,-,14m 57s,No,0
Crewmate,Loss,7,Yes,Yes,-,11m 03s,No,0
Crewmate,Loss,2,No,Yes,-,14m 43s,No,0
Crewmate,Loss,3,No,Yes,-,08m 34s,No,1
Crewmate,Loss,8,Yes,No,-,05m 32s,No,0
Crewmate,Win,8,Yes,Yes,-,16m 44s,No,0
Crewmate,Loss,8,Yes,Yes,-,09m 11s,No,1
Crewmate,Loss,8,Yes,Yes,-,14m 50s,No,0
Crewmate,Loss,8,Yes,Yes,-,17m 49s,No,0
Imposter,Loss,-,-,-,2,18m 01s,No,
Crewmate,Win,8,Yes,Yes,-,11m 50s,No,1
Crewmate,Win,5,Yes,No,-,09m 26s,No,2
Crewmate,Win,1,No,No,-,03m 08s,No,1
Imposter,Loss,-,-,-,1,02m 35s,Yes,
Crewmate,Win,1,No,No,-,02m 27s,No,0
Crewmate,Win,3,No,No,-,04m 53s,No,1
Crewmate,Win,1,No,Yes,-,05m 24s,No,0
Imposter,Loss,-,-,-,2,19m 39s,No,
Crewmate,Loss,2,No,Yes,-,10m 19s,No,0
Imposter,Win,-,-,-,5,12m 43s,No,
Crewmate,Win,8,Yes,No,-,14m 01s,No,1
Imposter,Win,-,-,-,1,15m 50s,No,
Crewmate,Win,3,No,No,-,12m 58s,No,0
Imposter,Loss,-,-,-,2,14m 59s,No,
Crewmate,Win,8,Yes,No,-,11m 17s,No,2
Crewmate,Win,8,Yes,Yes,-,22m 15s,No,3
Imposter,Loss,-,-,-,2,12m 54s,Yes,
Crewmate,Win,5,No,Yes,-,15m 12s,No,0
Crewmate,Win,4,No,No,-,09m 36s,No,0
Imposter,Win,-,-,-,1,18m 16s,No,
Crewmate,Win,5,No,No,-,10m 28s,No,0
Crewmate,Win,7,No,No,-,12m 03s,No,0
Crewmate,Win,7,No,No,-,15m 30s,No,1
Imposter,Win,-,-,-,3,11m 55s,No,
Crewmate,Loss,8,Yes,Yes,-,12m 02s,No,0
Crewmate,Loss,6,No,No,-,14m 20s,No,0
Crewmate,Loss,8,Yes,No,-,13m 02s,No,0
Crewmate,Loss,7,No,No,-,05m 13s,No,0
Crewmate,Win,7,No,Yes,-,06m 45s,No,0
Imposter,Win,-,-,-,2,12m 36s,No,
Imposter,Loss,-,-,-,1,01m 28s,Yes,
Crewmate,Loss,6,No,Yes,-,05m 14s,No,1
Crewmate,Win,8,Yes,No,-,07m 46s,No,0
Crewmate,Loss,7,Yes,Yes,-,19m 38s,No,1
Crewmate,Loss,7,Yes,Yes,-,12m 19s,No,1
Imposter,Win,-,-,-,3,08m 55s,No,
Crewmate,Win,8,Yes,Yes,-,18m 26s,No,1
Crewmate,Loss,8,Yes,Yes,-,17m 02s,No,0
Crewmate,Win,5,No,No,-,05m 47s,No,0
Imposter,Win,-,-,-,5,05m 40s,No,
Crewmate,Win,7,Yes,No,-,10m 32s,No,0
Crewmate,Win,5,No,No,-,10m 48s,No,1
Crewmate,Loss,7,Yes,Yes,-,12m 44s,No,0
Imposter,Win,-,-,-,2,07m 46s,No,
Imposter,Win,-,-,-,0,00m 00s,No,
Crewmate,Loss,1,No,Yes,-,01m 50s,No,0
Crewmate,Loss,7,No,Yes,-,08m 54s,No,0
Crewmate,Win,8,Yes,Yes,-,24m 13s,No,1
Imposter,Loss,-,-,-,2,10m 34s,Yes,
Crewmate,Win,3,No,Yes,-,15m 47s,No,0
Crewmate,Win,7,Yes,Yes,-,12m 15s,No,0
Crewmate,Win,7,Yes,No,-,16m 58s,No,0
Crewmate,Win,8,Yes,Yes,-,17m 20s,No,0
Imposter,Loss,-,-,-,1,11m 31s,No,
Crewmate,Win,4,No,No,-,11m 28s,No,1
Crewmate,Loss,4,No,Yes,-,12m 33s,No,0
Crewmate,Win,8,Yes,Yes,-,21m 02s,No,0
Crewmate,Loss,7,No,Yes,-,08m 40s,No,0
Crewmate,Win,4,No,No,-,07m 50s,No,1
Crewmate,Win,8,Yes,No,-,12m 17s,No,0
Crewmate,Loss,7,No,No,-,10m 23s,No,1
Imposter,Win,-,-,-,2,11m 59s,No,
Imposter,Win,-,-,-,2,00m 49s,No,
Imposter,Win,-,-,-,3,08m 47s,No,
Crewmate,Loss,6,No,Yes,-,12m 43s,No,0
Crewmate,Loss,7,Yes,Yes,-,21m 37s,No,0
Crewmate,Loss,7,No,Yes,-,11m 40s,No,1
Crewmate,Win,8,Yes,Yes,-,11m 29s,No,0
Crewmate,Win,8,Yes,No,-,11m 31s,No,0
Crewmate,Win,8,Yes,No,-,10m 36s,No,0
Crewmate,Loss,8,Yes,Yes,-,11m 12s,No,0
Imposter,Win,-,-,-,4,21m 23s,No,
Crewmate,Win,4,No,Yes,-,07m 29s,No,2
Crewmate,Loss,8,Yes,Yes,-,08m 24s,No,1
Imposter,Loss,-,-,-,1,14m 26s,No,
Crewmate,Win,5,No,No,-,09m 25s,No,1
Crewmate,Win,9,Yes,Yes,-,15m 41s,No,0
Imposter,Loss,-,-,-,3,21m 05s,Yes,
Crewmate,Win,7,Yes,No,-,12m 34s,No,1
Imposter,Win,-,-,-,2,04m 07s,No,
Crewmate,Loss,7,Yes,No,-,16m 02s,No,1
Crewmate,Loss,6,No,No,-,10m 29s,Yes,0
Crewmate,Loss,3,No,No,-,08m 00s,Yes,0
Imposter,Loss,-,-,-,2,11m 53s,Yes,
Crewmate,Loss,7,Yes,No,-,11m 07s,No,0
Crewmate,Loss,2,No,No,-,05m 02s,No,1
Crewmate,Win,5,No,Yes,-,05m 19s,No,0
Crewmate,Win,4,No,No,-,12m 28s,No,1
Imposter,Win,-,-,-,1,04m 38s,No,
Imposter,Loss,-,-,-,1,08m 58s,No,
Imposter,Loss,-,-,-,3,13m 42s,Yes,
Crewmate,Win,7,Yes,No,-,14m 51s,No,1
Imposter,Loss,-,-,-,1,12m 35s,No,
Imposter,Win,-,-,-,2,08m 03s,No,
Crewmate,Win,8,Yes,Yes,-,13m 40s,No,1
Imposter,Win,-,-,-,3,09m 15s,No,
Imposter,Loss,-,-,-,1,09m 33s,Yes,
Imposter,Win,-,-,-,1,05m 05s,No,
Crewmate,Win,7,Yes,No,-,14m 32s,No,2
Crewmate,Loss,6,No,No,-,07m 10s,No,1
Imposter,Loss,-,-,-,0,06m 39s,No,
Crewmate,Loss,9,Yes,Yes,-,13m 02s,No,1
Crewmate,Win,9,Yes,Yes,-,13m 20s,No,0
Crewmate,Win,9,Yes,No,-,14m 26s,No,0
Crewmate,Loss,3,No,Yes,-,07m 44s,No,0
Crewmate,Loss,9,Yes,Yes,-,16m 50s,No,0
Crewmate,Loss,2,No,No,-,06m 18s,No,0
Crewmate,Loss,7,Yes,Yes,-,08m 47s,No,0
Crewmate,Win,6,No,No,-,08m 00s,No,2
Crewmate,Win,8,Yes,No,-,16m 05s,No,0
Crewmate,Win,7,No,No,-,10m 31s,No,0
Crewmate,Loss,8,Yes,Yes,-,16m 53s,No,0
Crewmate,Loss,7,Yes,No,-,13m 03s,No,0
Crewmate,Win,7,Yes,Yes,-,14m 03s,No,0
Crewmate,Win,7,Yes,No,-,19m 17s,No,2
Crewmate,Loss,5,No,Yes,-,08m 30s,No,0
Crewmate,Win,7,No,No,-,10m 02s,No,0
Crewmate,Win,8,Yes,No,-,15m 29s,No,1
Crewmate,Win,4,No,No,-,10m 46s,No,0
Crewmate,Loss,2,No,Yes,-,11m 28s,No,0
Crewmate,Loss,6,No,No,-,18m 51s,No,2
Crewmate,Loss,3,No,Yes,-,05m 50s,No,1
Imposter,Loss,-,-,-,2,16m 35s,No,
Crewmate,Loss,4,No,Yes,-,14m 15s,No,0
Imposter,Loss,-,-,-,2,12m 48s,No,
Crewmate,Win,7,Yes,No,-,10m 08s,No,0
Crewmate,Win,6,No,No,-,08m 21s,No,1
Crewmate,Loss,8,Yes,Yes,-,11m 03s,No,2
Crewmate,Win,7,Yes,Yes,-,10m 38s,No,0
Crewmate,Loss,6,No,No,-,09m 13s,No,0
Crewmate,Loss,8,Yes,No,-,14m 24s,No,2
Crewmate,Win,7,Yes,No,-,13m 24s,No,1
Crewmate,Win,1,No,No,-,06m 53s,Yes,0
Crewmate,Win,8,Yes,No,-,26m 40s,No,4
Crewmate,Win,8,Yes,No,-,18m 25s,Yes,0
Crewmate,Loss,8,Yes,Yes,-,15m 55s,No,0
Crewmate,Loss,4,No,Yes,-,09m 18s,No,1
Crewmate,Win,5,Yes,Yes,-,05m 03s,No,0
Imposter,Loss,-,-,-,0,09m 15s,No,
Crewmate,Win,3,No,Yes,-,03m 19s,No,0
Crewmate,Loss,6,No,Yes,-,06m 05s,No,0
Crewmate,Loss,0,No,No,-,05m 06s,No,0
Crewmate,Loss,0,No,No,-,00m 18s,No,0
Imposter,Win,-,-,-,2,07m 43s,No,
Crewmate,Win,5,No,No,-,04m 52s,No,0
Crewmate,Win,8,Yes,Yes,-,11m 19s,No,0
Crewmate,Loss,2,No,Yes,-,05m 00s,No,0
Crewmate,Loss,8,Yes,No,-,11m 19s,No,1
Crewmate,Win,2,No,Yes,-,05m 59s,No,1
Crewmate,Win,1,No,No,-,04m 28s,No,1
Crewmate,Loss,7,No,Yes,-,02m 57s,No,0
Imposter,Win,-,-,-,8,03m 14s,No,
Imposter,Win,-,-,-,2,08m 57s,No,
Imposter,Win,-,-,-,1,09m 06s,No,
Imposter,Loss,-,-,-,0,18m 20s,No,
Crewmate,Loss,4,No,Yes,-,04m 51s,No,0
Imposter,Win,-,-,-,2,05m 50s,No,
Imposter,Loss,-,-,-,2,05m 58s,Yes,
Crewmate,Loss,4,No,Yes,-,05m 51s,No,1
Crewmate,Win,8,Yes,No,-,14m 10s,No,0
Crewmate,Loss,7,No,Yes,-,09m 50s,No,3
Crewmate,Loss,9,Yes,Yes,-,11m 11s,No,0
Crewmate,Win,9,Yes,No,-,11m 09s,No,2
Crewmate,Win,8,No,No,-,11m 51s,No,1
Crewmate,Loss,6,No,Yes,-,07m 50s,No,1
Crewmate,Loss,7,Yes,Yes,-,12m 54s,No,2
Crewmate,Win,7,Yes,No,-,06m 39s,No,2
Crewmate,Loss,7,Yes,Yes,-,20m 20s,No,2
Crewmate,Loss,2,No,No,-,04m 30s,No,0
Crewmate,Loss,4,No,Yes,-,03m 48s,No,0
Crewmate,Win,1,No,No,-,13m 39s,No,2
Crewmate,Loss,8,Yes,Yes,-,12m 37s,No,0
Imposter,Win,-,-,-,2,03m 21s,No,
Crewmate,Win,1,No,No,-,03m 46s,No,0
Crewmate,Win,1,No,No,-,01m 47s,No,0
Crewmate,Loss,6,No,Yes,-,07m 10s,No,1
Crewmate,Win,7,No,No,-,19m 17s,No,0
Crewmate,Win,8,Yes,No,-,11m 21s,No,1
Crewmate,Loss,4,No,No,-,02m 28s,No,1
Imposter,Loss,-,-,-,3,13m 28s,No,
Crewmate,Loss,8,Yes,Yes,-,16m 28s,No,0
Crewmate,Loss,8,Yes,Yes,-,12m 29s,No,1
Crewmate,Loss,3,No,No,-,12m 07s,Yes,0
Crewmate,Win,4,No,No,-,17m 31s,Yes,0
Crewmate,Win,4,No,No,-,09m 40s,No,1
Crewmate,Loss,3,No,Yes,-,13m 33s,No,3
Imposter,Win,-,-,-,2,14m 34s,No,
Crewmate,Win,6,No,Yes,-,18m 00s,No,0
Crewmate,Win,8,Yes,Yes,-,11m 53s,No,0
Crewmate,Win,8,Yes,Yes,-,15m 44s,No,0
Imposter,Loss,-,-,-,1,06m 07s,Yes,
Crewmate,Win,4,No,No,-,12m 04s,No,0
Imposter,Loss,-,-,-,3,13m 11s,Yes,
Imposter,Win,-,-,-,3,13m 42s,No,
Crewmate,Loss,3,No,Yes,-,10m 26s,No,0
Crewmate,Loss,5,No,Yes,-,17m 41s,No,1
Crewmate,Loss,5,No,Yes,-,09m 18s,No,1
Crewmate,Win,1,No,No,-,04m 35s,No,0
Crewmate,Win,1,No,No,-,07m 20s,No,1
Crewmate,Loss,6,Yes,No,-,16m 52s,No,0
Imposter,Win,-,-,-,3,09m 46s,No,
Crewmate,Win,6,Yes,No,-,11m 26s,No,0
Crewmate,Win,6,Yes,No,-,08m 39s,No,0
Imposter,Loss,-,-,-,2,10m 11s,No,
Crewmate,Win,4,No,No,-,14m 21s,No,1
Crewmate,Loss,6,No,No,-,10m 45s,No,1
Imposter,Loss,-,-,-,1,16m 51s,No,
Crewmate,Loss,8,Yes,Yes,-,15m 38s,No,5
Crewmate,Loss,8,Yes,Yes,-,11m 22s,No,1
Imposter,Win,-,-,-,3,06m 00s,No,
Imposter,Loss,-,-,-,3,14m 02s,Yes,
Crewmate,Win,6,No,No,-,20m 08s,No,2
Crewmate,Loss,4,No,Yes,-,10m 32s,No,2
Imposter,Loss,-,-,-,1,06m 48s,Yes,
Imposter,Loss,-,-,-,1,06m 15s,Yes,
Imposter,Win,-,-,-,1,00m 19s,No,
Crewmate,Loss,3,No,No,-,03m 28s,No,2
Crewmate,Loss,1,No,No,-,03m 21s,No,1
Crewmate,Win,4,No,Yes,-,06m 53s,No,0
Crewmate,Win,8,Yes,No,-,17m 52s,No,1
Imposter,Loss,-,-,-,1,03m 04s,No,
Crewmate,Win,8,Yes,No,-,07m 35s,No,1
Crewmate,Win,6,No,Yes,-,10m 12s,No,1
Crewmate,Win,7,No,No,-,16m 59s,No,1
Crewmate,Win,9,Yes,Yes,-,15m 24s,No,1
Crewmate,Win,2,No,No,-,16m 14s,No,1
Imposter,Win,-,-,-,3,10m 17s,No,
Crewmate,Loss,9,Yes,Yes,-,11m 48s,No,0
Crewmate,Win,9,Yes,Yes,-,14m 47s,No,0
Crewmate,Loss,5,No,Yes,-,13m 12s,No,0
Crewmate,Win,6,No,No,-,13m 23s,No,1
Crewmate,Win,4,No,Yes,-,09m 57s,No,0
Crewmate,Win,4,No,Yes,-,13m 03s,No,1
Crewmate,Loss,3,No,Yes,-,10m 14s,No,0
Imposter,Loss,-,-,-,1,07m 27s,Yes,
Crewmate,Loss,7,Yes,No,-,09m 01s,No,0
Crewmate,Win,1,No,No,-,10m 28s,No,1
Imposter,Loss,-,-,-,2,07m 01s,Yes,
Crewmate,Loss,0,No,Yes,-,04m 06s,No,0
Crewmate,Loss,8,Yes,Yes,-,13m 42s,No,1
Crewmate,Loss,8,Yes,No,-,11m 50s,No,1
Crewmate,Loss,8,Yes,No,-,07m 53s,No,0
Crewmate,Loss,8,Yes,Yes,-,16m 00s,No,0
Imposter,Loss,-,-,-,1,13m 42s,Yes,
Crewmate,Loss,8,Yes,Yes,-,17m 11s,No,0
Crewmate,Loss,8,Yes,No,-,15m 52s,No,1
Crewmate,Loss,6,No,No,-,10m 15s,No,0
Crewmate,Loss,4,No,No,-,08m 39s,No,0
Crewmate,Loss,6,No,No,-,11m 05s,No,1
Crewmate,Loss,1,No,No,-,09m 24s,No,1
Crewmate,Loss,8,Yes,No,-,10m 45s,No,1
Crewmate,Loss,8,Yes,Yes,-,18m 56s,No,0
Crewmate,Loss,3,No,No,-,07m 37s,No,1
Crewmate,Win,7,Yes,No,-,08m 19s,No,1
Imposter,Loss,-,-,-,1,05m 02s,Yes,
Crewmate,Win,7,Yes,Yes,-,05m 46s,No,0
